player_name,team_name,image_of_player,battingStyle,bowlingStyle,playingRole,description
Paul van Meekeren,Netherlands,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322600/322644.png",Right hand Bat,Right arm Fast medium,Bowler,"Paul van Meekeren drew attention to himself during the World Twenty20 qualifiers in 2016 when he produced a spell of 4 for 11 against Ireland. A trial match at Taunton Vale, plus the success of his Dutch compatriot Timm van der Gugten at Glamorgan, was enough for Somerset to offer him a short-term deal midway through the 21016 season which they extended to a two-year deal until the end of the 2018 season. He made his Somerset first-class debut against the Pakistan tourists and followed up with T20 and List-A debuts for the Club in the same season, catching the eye in a NatWest T20 Blast fixture at Cardiff where he bowled with genuine pace. The following season, in his sole Championship appearance, he took four wickets on debut against Essex at Chelmsford.

ESPNcricinfo staff"
Rahmanullah Gurbaz,Afghanistan,,Right hand Bat,,Wicketkeeper Batter,
Ibrahim Zadran,Afghanistan,,Right hand Bat,Right arm Medium fast,Opening Batter,
Najibullah Zadran,Afghanistan,,Left hand Bat,Right arm Offbreak,Middle order Batter,"Najibullah Zadran packs a punch with his bellicose left-hand batting, despite his slight frame. He has followed the same tried and tested route to the national side as many of his generation that came after the initial Afghan cricketing pioneers, with age-group cricket preparing him for the big stage. His ODI debut, against Ireland in Dublin in 2012, was possibly a little premature but Zadran's batting turned a corner in 2014 and he started to look more at home. In July, his second-innings 99 helped Afghanistan beat a strong Zimbabwe A side in an unofficial Test, and in November his unbeaten 32-ball 60 helped set up a 54-run win over Pakistan A in a Twenty match. He started 2015 well with a maiden ODI fifty, a boundary-laden 83 against Ireland, and cruised into Afghanistan's World Cup squad.Liam Brickhill"
Mohammad Nabi,Afghanistan,,Right hand Bat,Right arm Offbreak,Allrounder,"Mohammad Nabi hails from a well-to-do family that moved to Peshawar in Pakistan, seeking a safe haven from the Soviet War in Afghanistan. An efficient allrounder - a strong middle-order batsman who can bowl flighted offspin - Nabi's rise, like Afghanistan's, has been staggering. He has been at the centre of the side since their time in the ICC's World Cricket League Division Five, from where Afghanistan began their rise to the international stage."
Azmatullah Omarzai,Afghanistan,,Right hand Bat,Right arm Medium fast,Allrounder,
Rashid Khan,Afghanistan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/320500/320506.png",Right hand Bat,Legbreak Googly,Bowling Allrounder,"Rashid Khan has been Afghanistan's first global superstar, and the key to their successes in their early years in international cricket. His extraordinarily effective legspin has made him one of the greatest T20 bowlers ever, among the first names on wishlists of teams in leagues all around the world. "
Mujeeb Ur Rahman,Afghanistan,,Right hand Bat,Right arm Offbreak,Bowler,"He can bowl traditional offspin and mix it up with legspin and ripping googlies to make what Afghanistan coach Andy Moles terms a ""complete package"". At just 16, Mujeeb wants to follow in the footsteps of Rashid Khan, his senior by two years. There's plenty of hype surrounding him too, supported by the weight of his performances. "
Naveen-ul-Haq,Afghanistan,,Right hand Bat,Right arm Medium fast,Bowler,
Fazalhaq Farooqi,Afghanistan,,Right hand Bat,Left arm Fast medium,Bowler,
Litton Das,Bangladesh,,Right hand Bat,,Wicketkeeper Batter,Liton Das is the first wicketkeeper-batsman in Bangladesh considered good enough to be a long-term successor to Mushfiqur Rahim. His domestic exploits for Abahani in the Dhaka Premier League and Rangpur Division in the National Cricket League in the 2014-15 season earned him recognition and later a call-up in the senior side for the Test against India in Fatullah in June 2015.
Mehidy Hasan Miraz,Bangladesh,,Right hand Bat,Right arm Offbreak,Allrounder,"Mehedi Hasan Miraz has emerged as one of the brightest young stars in Bangladesh cricket. He led the country to their first appearance in an Under-19 World Cup semi-final in February 2016, before making the year more memorable with his Test debut, against England in October."
Najmul Hossain Shanto,Bangladesh,,Left hand Bat,Right arm Offbreak,Top order Batter,"Nazmul Hossain Shanto emerged from an unusual source in Bangladesh cricket - the schools. A double-century in a school one-day match in Rajshahi grabbed the attention of age-group scouts, who quickly drafted the left-hander into Bangladesh's Under-17s. Soon, he graduated to the Under-19s in 2013, and went on to play two World Cups at that level, in 2014 and 2016."
Shakib Al Hasan,Bangladesh,,Left hand Bat,Slow Left arm Orthodox,Allrounder,"When the annals of Bangladesh cricket are sifted by future generations, Shakib Al Hasan will emerge and re-emerge as the greatest cricketer of its first two decades. As a bowler, Shakib is accurate, consistent and canny; aggression and a wide range of strokes are the keys to his batting. Even more importantly, he has self-belief and an excellent temperament, unflustered by the big occasion and ready to do battle against the top teams."
Mustafizur Rahman,Bangladesh,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319700/319734.png",Left hand Bat,Left arm Fast medium,Bowler,"Mustafizur Rahman is a left-arm pace bowler who came to Dhaka to try out for a fast-bowling camp in 2012, after he had impressed in an Under-17 tournament in Satkhira, some 300km from Dhaka. He got admitted to the BCB's pace foundation and soon caught the coaches' attention to make the Bangladesh Under-19 side for the 2014 World Cup. "
Quinton de Kock,South Africa,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316668.png",Left hand Bat,,Wicketkeeper Batter,"Quinton de Kock's fearless striking and handy glovework earned him comparisons to greats of the game like Adam Gilchrist and Mark Boucher early in his career. By 21, he shared the record for the most successive ODI centuries - three - before it was bettered by Kumar Sangakkara. A year later, he had established himself in all three formats for South Africa. "
Aiden Markram,South Africa,,Right hand Bat,Right arm Offbreak,Opening Batter,"The first South Africa captain to win a World Cup, albeit at age-group level, Aiden Markram announced himself as champion material early. He led South Africa's Under-19s to World Cup glory in 2014 and was also their leading run-scorer and third overall. It took him another three years to break into the senior side, but when he did, he made an impact right away with 97, 143 and 125 in his first three Tests, at home against Bangladesh and Zimbabwe. "
Heinrich Klaasen,South Africa,,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,"A clean-hitting, wicketkeeper batsman, Heinrich Klaasen emerged on the scene at the same time that Quinton de Kock nailed down a place in the South African team, across all formats. As someone who had always combined the disciplines of batting and glovework, Klaasen hoped to make it in either skill and establish himself as all-round option, if required."
David Miller,South Africa,,Left hand Bat,Right arm Offbreak,Middle order Batter,"A hard-hitting left-hander with a penchant for clearing the boundary, David Miller made famous the phrase ""If it's in the arc, it's out the park."" Miller is a self-styled finisher who is strong off the front and back foot and eager to swing his arms, as well as a gun fielder. "
Pathum Nissanka,Sri Lanka,,Right hand Bat,,Top order Batter,
Kusal Mendis,Sri Lanka,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319800/319866.png",Right hand Bat,Legbreak,Wicketkeeper Batter,"Blessed with a compact technique, an aggressive impulse, and an iron resolve, Kusal Mendis rose rapidly through the age-group system, and quickly became one of the most promising young batsmen in the world. He had played only 16 first-class innings before he made his Test debut at the age of 20, and had hit only one first-class hundred before he made a maiden Test ton. That hundred - the 176 against Australia at Pallekele - was a match-flipping, series-defining knock, which given the fact no other batsman mustered more than 55 in the game, is one of the greatest ever Sri Lankan innings. Since then, Mendis has put together some impressive ODI innings as well, and has embedded himself in the Test top four. "
Charith Asalanka,Sri Lanka,,Left hand Bat,Right arm Offbreak,Batting Allrounder,
Dhananjaya de Silva,Sri Lanka,,Right hand Bat,Right arm Offbreak,Allrounder,"A technically correct top-order batsman from the southern reaches of the island, Dhananjaya de Silva briefly caught the national selectors' eye in 2015, then went on to have a bumper domestic season that marked him out for more intensive national duty. De Silva had been picked on potential in Sri Lanka's mid-year T20s against Pakistan, in 2015, but didn't quite convince he was a T20 batsman, hitting 45 off 47 balls across two innings. What followed, though, was an emphatic blooming."
Dasun Shanaka,Sri Lanka,,Right hand Bat,Right arm Medium,Allrounder,"An explosive middle-order batsman, and steady right-arm seam bowler, Dasun Shanaka worked his way into Sri Lanka's T20 side through several seasons of good performances for Sinhalese Sports Club. Born and educated in Negombo, Shanaka made his T20 international debut against Pakistan in August 2015, but it wasn't until the following domestic season that he achieved wide acclaim. Batting at No. 4 in an AIA Premier T20 match against Saracens Sports Club, Shanaka struck a Sri Lankan record 16 sixes in an innings worth 123 from 46 balls. That wasn't even his biggest T20 score of the last week. He had hit 131 off 48 balls against Galle Cricket Club one week earlier."
Kasun Rajitha,Sri Lanka,,Right hand Bat,Right arm Medium fast,Bowler,"Virtually unheard of before 2015, the first inkling of right-arm seamer Kasun Rajitha's potential came during a three-dayer against the touring Indians in August of that year. He took 5 for 68 on a spicy Khettarama deck in that match, dismissing Shikhar Dhawan, Virat Kohli and Rohit Sharma in a single spell, before claiming Kohli's wicket in the second innings as well."
David Warner,Australia,,Left hand Bat,Legbreak,Opening Batter,David Warner's extraordinary batting feats in all three formats for Australia will forever be overshadowed by his role as the chief protagonist of the Newlands ball-tampering scandal of 2018 and his place as a central figure in Australian cricket's ensuing cultural crisis.
Mitchell Marsh,Australia,,Right hand Bat,Right arm Medium,Allrounder,"Part of one of the most well-known family names in Australian cricket, Mitchell Marsh, an allrounder who can hit 140kph and hard-hitting middle-order batsman, has been an alluring prospect for Australia in all three formats but has struggled to cement his place at international level despite some outstanding performances on the big stage."
Glenn Maxwell,Australia,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316657.png",Right hand Bat,Right arm Offbreak,Batting Allrounder,"One of the fastest scorers in world cricket, Glenn Maxwell has lit up the limited-overs formats and, at times, shown he can transfer that to the red ball. It is not just his power that worries opposing bowlers and captains. His ability to make unconventional shots appear routine - reverse sweeps and pulls, for example - makes it hard to set fields to cover all of his scoring areas. His audacity comes with risk, and he can exasperate as well as exhilarate, but at his best he can change a game in moments."
Cameron Green,Australia,,Right hand Bat,Right arm Fast medium,Batting Allrounder,"Contracted to Western Australia as a schoolboy, Cameron Green took 5 for 24 on first-class debut against Tasmania in February 2017 as a 17-year-old. He was selected initially for his bowling given his 200cm frame and his ability to deliver fast outswing but was plagued by stress fractures. However, throughout his junior days with Subiaco-Floreat and WA's junior teams his technically sound batting and an unquenchable thirst for scoring runs saw him emerge as a genuine allrounder of rare ability. "
Pat Cummins,Australia,,Right hand Bat,Right arm Fast,Bowler,"Earmarked as a potential star from a young age, Pat Cummins made his Test debut as an 18-year-old but had to wait six years for his next appearance as injuries struck a body that could not withstand the workload. The bowler who emerged in 2017 was a thoroughbred quick who became one of the standout players in the world and, in late 2021, Australia's Test captain in dramatic circumstances."
Mitchell Starc,Australia,,Left hand Bat,Left arm Fast,Bowler,"First there was Johnson, then there was Starc. A left-armer called Mitchell has been a staple of Australia's attack for more than a decade and seems set to remain so for the foreseeable future. While Johnson was more express, Starc is still quick enough to make life uncomfortable for opposition batsmen, especially with the bounce gained from his 1.96m height - and boasts greater control of swing than his former colleague. Never was that shown to greater effect than during the 2015 World Cup, when Starc was at times unplayable, his inswingers rattling stumps and trapping batsmen in front throughout the competition. Not surprisingly he was named Player of the Tournament for his 22 victims at 10.18, and four years later he would claim 27 wickets at the World Cup in England when Australia's defence ended in the semi-finals."
Adam Zampa,Australia,,Right hand Bat,Legbreak Googly,Bowler,"An energetic and competitive legspinner, Adam Zampa emerged in Australia's limited-overs squads in 2016 after a successful summer for South Australia and the Melbourne Stars. In T20, especially, he has proven a hard man to get away, with subtle changes of pace and variations, including a wrong'un and straight ball making up for a lack of prodigious turn. He's a (mullet-wearing) colourful character off the field, but in contrast, his bowling, focusing on control, is clinical."
Josh Hazlewood,Australia,,Left hand Bat,Right arm Fast medium,Bowler,"A tall and accurate fast bowler who is unrelenting in his line and length, Josh Hazlewood became a fixture in Australia's Test attack as soon as he made his debut in December 2014. Although he was only 23 at the time, the baggy green had felt a long time coming, given that Hazlewood had been highly regarded for so long. At 17, he had become the youngest fast bowler to be selected by New South Wales, and at 19 he was in his first one-day international against England at Southampton, joining Craig McDermott and Ray Bright as the only Australian 19-year-olds to play the format so soon. Hazlewood was initially chosen for Australia's Test tour of India in late 2010 but was withdrawn due to a back stress injury, and it was not until four years later that he finally played his first Test, having added significant strength to his 196cm frame."
Virat Kohli,India,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316605.png",Right hand Bat,Right arm Medium,Top order Batter,"India has given to the world many a great cricketer but perhaps none as ambitious as Virat Kohli. To meet his ambition, Kohli employed the technical assiduousness of Sachin Tendulkar and fitness that was in the league of top athletes in the world, not just cricketers. As a result, Kohli became the most consistent all-format accumulator of his time, making jaw-dropping chases look easy, and finding, in his own words, the safest possible way to score runs. Plenty of them."
KL Rahul,India,,Right hand Bat,,Opening Batter,"A tall, elegant right-hand batsman who can keep wicket in a crisis, KL Rahul is among the most highly rated opening batsmen in India's next generation. Rahul was a part of India's squad in the 2010 Under-19 World Cup and made his first-class debut later that year. Having taken a while to establish himself as a first-class cricketer, he enjoyed a breakthrough 2013-14 season, laying the foundation for Karnataka's Ranji Trophy victory with 1033 runs, which included three centuries, three nineties, and a Man-of-the-Match performance in the final."
Hardik Pandya,India,,Right hand Bat,Right arm Medium fast,Allrounder,"Hardik Pandya swears by living life king size and that exuberance finds expression in his powerful hitting in the middle order and brisk seam bowling. He first caught the eye with an unbeaten 31-ball 61 for Mumbai Indians against Kolkata Knight Riders in IPL 2015, but displayed greater consistency in the Syed Mushtaq Ali domestic T20 tournament in January 2016. He finished as the leading run-getter, for Baroda, with 377 runs in 10 innings at an average of 53.85. "
Daryl Mitchell,New Zealand,,Right hand Bat,Right arm Medium,Allrounder,"Daryl Mitchell was called into New Zealand's Test team in late 2019 as a replacement for the injured Colin de Grandhomme. He impressed, too, making an assured 73 against England in his first innings and bowling with good control on a sluggish surface at his home ground, Hamilton. He had made his international debut against India in a T20I in February of that year."
Glenn Phillips,New Zealand,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321200/321223.png",Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,"Glenn Phillips is a top-order wicketkeeper-batsman who has impressed in white-ball cricket during the early stages of his career. Born in South Africa, he moved to New Zealand with his family at the age of five and has come through the cricket set-up in Auckland. He made his List A debut at the age of 18 before playing in the 2016 Under-19 World Cup. He really started to turn heads, however, during the 2016-17 Super Smash when he was the tournament's leading scorer with 369 runs, including an innings of 116 off 57 balls. He was called into the New Zealand T20 squad to face South Africa in February 2017 after an injury to Martin Guptill.
ESPNcricinfo staff"
Mitchell Santner,New Zealand,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319700/319792.png",Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder,"A left-handed batsman and left-arm spinner, Mitchell Santner was first elevated to the New Zealand side after a promising 2014-15 domestic season. "
Taskin Ahmed,Bangladesh,,Left hand Bat,Right arm Fast,Bowler,"Even before he was anywhere near making his international debut, Taskin Ahmed became an internet sensation. A video of his spell against England Under-19s in 2012 found its way to Youtube, and the sight of a Bangladeshi fast bowler ripping it past batsman and hitting the wicketkeeper's gloves quite hard and high made people curious."
Shoriful Islam,Bangladesh,,Left hand Bat,Left arm Medium fast,Bowler,"At 6ft three inches, Shoriful Islam became a left-arm pace sensation almost overnight, when he starred in Bangladesh's 2020 Under-19 World Cup triumph. He took nine wickets, but it was his aggression and pace in the knockout games against South Africa, New Zealand and (in the final against) India that stood out."
Maheesh Theekshana,Sri Lanka,,Right hand Bat,Right arm Offbreak,Bowler,
Kagiso Rabada,South Africa,,Left hand Bat,Right arm Fast,Bowler,"A strapping, genuine quick who regularly bowls in the 140-150kph range, Kagiso Rabada is the most exciting talent to emerge from South Africa in the post No.1 Test ranking era. Before he had turned 21, Rabada had already established himself as a potential leader of the attack. "
Keshav Maharaj,South Africa,,Right hand Bat,Slow Left arm Orthodox,Bowler,"A left-arm spinner from Northwood Boys High, the alma mater of Shaun Pollock, Keshav Maharaj emerged at a time when South Africa began to take spin seriously. For several seasons in the mid 2010s, spinners were among the leading wicket-takers in South Africa's first-class competition. Maharaj was among them in the 2014-15 and 2015-16 seasons and was rewarded with an international call-up the following summer."
Marcus Stoinis,Australia,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321500/321596.png",Right hand Bat,Right arm Medium,Batting Allrounder,"A powerful, versatile batter and medium-pace bowler, Marcus Stoinis has become a mainstay in Australia's limited-overs sides as well as a dominant player in the BBL and a sought-after player in the IPL. "
Tabraiz Shamsi,South Africa,,Right hand Bat,Left arm Wrist spin,Bowler,"A left-arm wristspin bowler with ample variations and a good googly, Tabraiz Shamsi emerged as South Africa were starting to warm to the wave of spinners being produced at domestic levels, although it took a while for him to come through. "
Chamika Karunaratne,Sri Lanka,,Right hand Bat,Right arm Medium fast,Bowling Allrounder,
Lahiru Kumara,Sri Lanka,,Left hand Bat,Right arm Fast,Bowler,"A robust, right-arm fast bowler from Kandy, Lahiru Kumara had played only eight days of first-class cricket - all of which were for the Sri Lanka A team - before he was selected in the Test squad in October 2016. He was largely picked on his promise. One of the fastest bowlers in Sri Lanka's system, Kumara possesses a sharp bouncer, and an ability to both swing and seam the ball - all allied to a bustling intensity."
Lungi Ngidi,South Africa,,Right hand Bat,Right arm Fast medium,Bowler,"A tall, imposing paceman, Lungi Ngidi can reach speeds in the 140s kph and is as comfortable opening the bowling as he is at the death, making him one of South Africa's most promising prospects. Ngidi was schooled at Kwa-Zulu Natal's Hilton College and was involved at every provincial age-group level from Under-13 upwards. "
Nasum Ahmed,Bangladesh,,Left hand Bat,Slow Left arm Orthodox,Bowler,
Ben Stokes,England,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319700/319748.png",Left hand Bat,Right arm Fast medium,Allrounder,"The great Irish sports writer Con Houlihan used to say that every team should have a redhead. And it's true that Ben Stokes' combative nature, allied to his powerful frame and outrageous talent, lifted England to another level. Never was that more true than when he secured his place in English cricket history with an indefatigable batting display in the 2019 World Cup final. In making an unbeaten 84 he exhausted every ounce of strength, talent and willpower and then when he imagined it might be all over he came out to bat once more to help win a Super Over by the narrowest of margins."
Lockie Ferguson,New Zealand,,Right hand Bat,Right arm Fast,Bowler,"A right-arm quick with a good bouncer, it is Lockie Ferguson's speed that made a breakout star at the 2019 World Cup in England. Regularly hitting 150kph, Ferguson's raw speed bowling first change yielded 21 wickets at just 19.47 and an economy rate of 4.88. He finished second on the tournament wicket tally behind Mitchell Starc. He was rewarded with being named in the ICC's team of the tournament alongside skipper Kane Williamson. "
Trent Boult,New Zealand,,Right hand Bat,Left arm Fast medium,Bowler,"Rated as one half of the best new-ball pair in New Zealand history by Sir Richard Hadlee, Trent Boult is a left-arm quick who presents a significant threat to batsmen around the world with an ability to move the ball both ways even in unresponsive conditions."
Suryakumar Yadav,India,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/331100/331163.png",Right hand Bat,"Right arm Medium, Right arm Offbreak",Batter,"Hard-hitting 360-degree batter Suryakumar Yadav has all the shots, including a few not in any textbook save the one written by AB de Villiers. he also has a yen for making batting look easy, as he showed during four golden years with Mumbai Indians starting in 2018, during which they won the IPL title twice, thanks in no small part to his 1700-plus runs at a strike rate of around 140."
Mohammed Shami,India,,Right hand Bat,Right arm Fast,Bowler,"Mohammed Shami was India's leading fast bowler in the 2015 World Cup in Australia, when the team marched into the semi-finals and picked up 77 out of 80 wickets on offer. It was later revealed that he had played through that entire tournament - and the preceding Test series against the hosts, essentially four months - through a knee injury. His success can be attributed to his pace, accuracy and primarily his skill in moving the ball - both old and new. "
Hasan Mahmud,Bangladesh,,Right hand Bat,Right arm Medium,Bowler,"Hasan Mahmud is one among a group of young pace bowlers who have given hope of a fast bowling uprising in Bangladesh, after decades of reliance on spin. Mahmud is still at a very early stage of his career, having just played a single T20I for Bangladesh, and earned a maiden call-up in the ODI side in January 2021, but already he has earned plenty of praise from Bangladesh's coaches for his ability to bowl fast, full and accurately. "
Shariz Ahmad,Netherlands,,Left hand Bat,Legbreak Googly,Bowler,
Dushmantha Chameera,Sri Lanka,,Right hand Bat,Right arm Fast,Bowler,"Tall, slim and slippery, Dushmantha Chameera arrived at NCC in 2012, and was quickly marked out as a bowler for the future. First among his virtues is pace, generated from a slightly round-arm action that sacrifices movement. Capable of consistently hitting speeds of over 140 kph, coaches believe he had become the quickest bowler in the country by 23. He had played only a handful of games in his first two seasons, but came into his own in NCC's 2013-14 championship run, claiming 32 first-class cricket at 21.18."
Tim Southee,New Zealand,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316500/316596.png",Right hand Bat,Right arm Medium fast,Bowler,"Tim Southee, a right-arm swing bowler, burst upon the international scene in great style. He was still only 19, with only one T20I cap behind him, and fresh from a Player-of-the-Tournament performance at the 2008 Under-19 World Cup when he was handed a Test debut against England in Napier. Southee responded with 5 for 55 before smashing 77 off 40 balls in the second innings with nine sixes."
Ravichandran Ashwin,India,,Right hand Bat,Right arm Offbreak,Bowling Allrounder,"R Ashwin took the tricks and skills he learned playing tennis-ball cricket on the streets of Chennai, particularly the soduku ball, a finger-flicked legbreak, to Test cricket, where he became perhaps the leading offspinner of the first quarter of the 21st century."
Ish Sodhi,New Zealand,,Right hand Bat,Legbreak,Bowler,"There is little in Ish Sodhi's statistics to suggest he is an international-quality legspinner, but New Zealand's selectors have seen enough in his aggressive approach and keen attitude to hand him a Test debut after only one full season of first-class cricket. Known chiefly for the turn he generates and the flight he fearlessly trusts, Sodhi's journey to top-level cricket has been a triumph of determination over significant odds."
